Name,Date,City ,State,Observer,Vessel,GIS Latitude,GIS Longitude,Depth (ft),Location,Region/Buoy#,Wind Spd. (knots),Air Temp (oF),SST (oF),Bottom Temp (oF),Cloud Cover,Baseline Indicator,Baseline Indicator,Baseline Indicator,Bleaching?,Severity,% bleached,Branching/Pillar,Brain,Encrusting/Mound/Boulder,Flowering/Cup,Leaf/Plate/Sheet,Fleshy,Disease?,Disease Branching/Pillar,Disease Brain,Disease Encrusting/Mound/Boulder,Disease Flowering/Cup,Disease Leaf/Plate/Sheet,Disease Fleshy,Notes,,,,,,,,,,,,,,,,,,,,
Peter Horton,6/24/2020,Key West,Florida,Resident,Private,24.45445,-81.85772,20,Rock Key SPA,#4,5-10 kts,86,84,80,Partly Cloudy,Palythoa,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Present,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Present,Not Present,Not Present,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,6/25/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.53587,-81.44467,70,Lion's Boot,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Present,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Present,Not Present,Not Present,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,6/25/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.53035,-81.48829,30,Site C Outplant,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Present,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Present,Not Present,Not Present,No comments,,,,,,,,,,,,,,,,,,,,
Karen Neely,6/25/2020,Big Pine Key,Florida,Research,NOVA University,24.62544,-81.11067,30,Sombrero Reef SPA,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,No,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Karen Neely,6/25/2020,Big Pine Key,Florida,Research,NOVA University,24.68946,-81.03028,30,Dustan Rocks/M48,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,No,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Erich Bartels,6/26/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.47305,-81.74553,30,Marker 32,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Fire Coral,Palythoa,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Provided,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,6/29/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.47739,-81.73165,30,Site X Outplant,Not Provided,5-10 kts,Not Provided,Not Provided,Not Provided,Partly Cloudy,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Provided,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,6/29/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.45257,-81.87534,30,Sand Key SPA,#10,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Provided,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,7/1/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.45910,-81.84433,30,Eastern Dry Rocks SPA,Not Provided,5-10 kts,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Present,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Present,Not Present,Not Present,No comments,,,,,,,,,,,,,,,,,,,,
Zach Craig,7/1/2020,Summerland Key,Florida,Research,Mote Marine Laboratory,24.54474,-81.81112,10 ft or less,Ft. Zachary Taylor State Park,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Present,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Present,Not Present,Not Present,No comments,,,,,,,,,,,,,,,,,,,,
Caitlin Lustic,7/1/2020,Big Pine Key,Florida,Research,The Nature Conservancy (TNC),24.68726,-82.89484,40,"Texas Rock, Dry Tortugas",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,Yes,Paling (upper surface),1-10%,No Stress,No Stress,No Stress,No Stress,Partial Bleaching,No Stress,No,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Caitlin Lustic,7/1/2020,Big Pine Key,Florida,Research,The Nature Conservancy (TNC),24.61202,-82.92772,30,Outplant Site DRTO,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,No,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
